,brand,discounted_price,product_name,retail_price,uniq_id
0,Alisha,379.0,Alisha Solid Women's Cycling Shorts,999.0,c2d766ca982eca8304150849735ffef9
1,FabHomeDecor,22646.0,FabHomeDecor Fabric Double Sofa Bed,32157.0,7f7036a6d550aaa89d34c77bd39a5e48
2,AW,499.0,AW Bellies,999.0,f449ec65dcbc041b6ae5e6a32717d01b
3,Alisha,267.0,Alisha Solid Women's Cycling Shorts,699.0,0973b37acd0c664e3de26e97e5571454
4,Sicons,210.0,Sicons All Purpose Arnica Dog Shampoo,220.0,bc940ea42ee6bef5ac7cea3fb5cfbee7
5,Eternal Gandhi,430.0,Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,430.0,c2a17313954882c1dba461863e98adf2
6,Alisha,479.0,Alisha Solid Women's Cycling Shorts,1199.0,ce5a6818f7707e2cb61fdcdbba61f5ad
7,FabHomeDecor,22646.0,FabHomeDecor Fabric Double Sofa Bed,32157.0,8542703ca9e6ebdf6d742638dfb1f2ca
8,dilli bazaaar,349.0,"dilli bazaaar Bellies, Corporate Casuals, Casuals",699.0,29c8d290caa451f97b1c32df64477a2c
9,Alisha,479.0,Alisha Solid Women's Cycling Shorts,1199.0,4044c0ac52c1ee4b28777417651faf42
10,Ladela,950.0,Ladela Bellies,1724.0,e54bc0a7c3429da2ebef0b30331fe3d2
11,Carrel,910.0,Carrel Printed Women's,2299.0,c73e78fb440ff8972e0762daed4fc109
12,Sicons,550.0,Sicons All Purpose Tea Tree Dog Shampoo,1040.0,c29af37837afcaf44b779eca7c19295f
13,Alisha,379.0,Alisha Solid Women's Cycling Shorts,999.0,9aacdecceb404c74abddc513fd2756a8
14,Freelance,699.0,Freelance Vacuum Bottles 350 ml Bottle,699.0,83c53f8948f508f51d2249b489ca8e7d
15,Alisha,379.0,Alisha Solid Women's Cycling Shorts,999.0,d95b0456a0350bc42f2393c6e84b0f09
16,FabHomeDecor,22646.0,FabHomeDecor Fabric Double Sofa Bed,32157.0,849ab05698081a374215d0b7d18047d0
17,Style Foot,449.0,Style Foot Bellies,899.0,c275ee5ac19f774a3ef7da71b40aabd8
18,Carrel,999.0,Carrel Printed Women's,2499.0,4f3511c33a6869b1d5102cd97818ef00
19,FabHomeDecor,22646.0,FabHomeDecor Fabric Double Sofa Bed,32157.0,7ee3e337474a29b38cfe1f5d4020d633
20,Sicons,100.0,Sicons Conditioning Conditoner Dog Shampoo,110.0,f35f27525ab8f5988d3817ee9bb02ce1
21,Alisha,550.0,Alisha Solid Women's Cycling Shorts,1040.0,ea98a65ad1e1b8688eddf89fbc7b3e27
22,dongli,1039.0,dongli Printed Boy's Round Neck T-Shirt,2400.0,7a7ba93ab20a2b50fd5a7dc74bcba063
23,SWAGGA,1500.0,SWAGGA Women Clogs,1500.0,9c26a5d85a59d6a34a199ae1df836ec3
24,Kennel,190.0,Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,190.0,20cf08ae845d5fd8f2b8cf52b3b9d840
25,Glus,699.0,Glus Wedding Lingerie Set,1299.0,bb41283056536d7af11e994ba4f9db81
26,Veelys,2499.0,Veelys Shiny White Quad Roller Skates - Size 4.5 UK,3199.0,ea91e47cac68b132887d7fc1175e91c2
27,Bulaky,390.0,Bulaky vanity case Jewellery Vanity Case,499.0,bec784ef794cf596dbe2cbbaf5427ef0
28,FDT,309.0,FDT Women's Leggings,699.0,171e0bcea390c17fd70e3ffa6c2cd187
29,Madcaps,1699.0,Madcaps C38GR30 Men's Cargos,2199.0,a60ebb7803c6a31795de3f8949cb6f98
30,Bengal Blooms,579.0,Bengal Blooms Rose Artificial Plant  with Pot,799.0,186d40c6852da91166c7eb7856603c51
31,Indcrown,699.0,Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,999.0,e71017e224688489edfe856f2308806d
32,Shopmania,275.0,Shopmania Music Band A5 Notebook Spiral Bound,499.0,6286847ee2da18f587503db49511c539
33,Shopmania,275.0,Shopmania Music Band A5 Notebook Spiral Bound,499.0,0686fec9b70e5039583a38119ca0c835
34,Tiara Diaries,837.0,"Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound",1000.0,ea2406dc597bee2abb6b867fa668501f
35,KAJCI,699.0,KAJCI Embroidered Women's Waistcoat,1200.0,5935ed077915347dc695744df68c565c
36,Packman,298.0,Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,350.0,89fcdddaad50084e395d0928a7426afe
37,Pick Pocket,899.0,Pick Pocket Embroidered Women's Waistcoat,899.0,b9b183aa18d3a721d2ac23e7184525b0
38,Angelfish,399.0,Angelfish Silk Potali Potli,999.0,dee64864c0419bec80fbbb94d19bc40d
39,Oye,764.0,Oye Boy's Dungaree,899.0,595f55f2c1293f07ea9ec9fa2bb39f46
40,Nuride,1349.0,Nuride Canvas Shoes,1999.0,547b6585272473ae006bcfbdb47b6ae0
41,OM SHIVAKRITI,1499.0,OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,1499.0,f6ae9e271a1d4469b4f41124e001e1cc
42,Himmlisch,1899.0,Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,6999.0,f5b22eaa5f79e67209612997f4aa215d
43,Rapter,1400.0,Rapter BNC-179 BNC Wire Connector,2299.0,e9eb010ed8313f65f0e049fc3fcffe87
44,Vishudh,499.0,Vishudh Printed Women's Straight Kurta,999.0,6ef0a5eb033cd610d455be7102da5685
45,Vishudh,449.0,Vishudh Printed Women's Straight Kurta,899.0,c9c27aa5dc7df49e82e55e8abb6b4020
46,Vishudh,1049.0,Vishudh Printed Women's Anarkali Kurta,2099.0,8bc90f8a2ab89daa6ea69d42fe24c985
47,BuildTrack,5000.0,BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System,6500.0,f04b7e56a6053c465aa03994ae749fba
48,Skayvon,4990.0,Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System,9990.0,e6aa835f620db985ee4389b63ef166ad
49,MASARA,599.0,MASARA Solid Women's Straight Kurta,1399.0,cb02f195bbaabc773c7103accf6614a3
50,Vishudh,449.0,Vishudh Printed Women's Straight Kurta,899.0,169902631b89202f0e2079e9cc09b3c7
51,Rapter,899.0,Rapter BNC-047 BNC Wire Connector,1299.0,d8dfa5cfc972119fb2fb7ed330b8be54
52,Skayvon,4990.0,Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER Wired Sensor Security System,8999.0,5f16579ecfc3aa5dd8e65afdaa069d4f
53,Vishudh,449.0,Vishudh Printed Women's Straight Kurta,899.0,06ad8323cf9105f1aaae6515cf08a7d6
54,Behringer,6600.0,Behringer Xenyx 502 Analog Sound Mixer,10000.0,6894a5c6bb1d312fc0b65b51d9f65acc
55,Vishudh,449.0,Vishudh Printed Women's Straight Kurta,899.0,3ecb859759e5311cbab6850e98879522
