brand,discounted_price,product_name,retail_price,uniq_id
Alisha,379,Alisha Solid Women's Cycling Shorts,999,c2d766ca982eca8304150849735ffef9
FabHomeDecor,22646,FabHomeDecor Fabric Double Sofa Bed,32157,7f7036a6d550aaa89d34c77bd39a5e48
AW,499,AW Bellies,999,f449ec65dcbc041b6ae5e6a32717d01b
Alisha,267,Alisha Solid Women's Cycling Shorts,699,0973b37acd0c664e3de26e97e5571454
Sicons,210,Sicons All Purpose Arnica Dog Shampoo,220,bc940ea42ee6bef5ac7cea3fb5cfbee7
Eternal Gandhi,430,Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,430,c2a17313954882c1dba461863e98adf2
Alisha,479,Alisha Solid Women's Cycling Shorts,1199,ce5a6818f7707e2cb61fdcdbba61f5ad
FabHomeDecor,22646,FabHomeDecor Fabric Double Sofa Bed,32157,8542703ca9e6ebdf6d742638dfb1f2ca
dilli bazaaar,349,"dilli bazaaar Bellies, Corporate Casuals, Casuals",699,29c8d290caa451f97b1c32df64477a2c
Alisha,479,Alisha Solid Women's Cycling Shorts,1199,4044c0ac52c1ee4b28777417651faf42
Ladela,950,Ladela Bellies,1724,e54bc0a7c3429da2ebef0b30331fe3d2
Carrel,910,Carrel Printed Women's,2299,c73e78fb440ff8972e0762daed4fc109
Sicons,550,Sicons All Purpose Tea Tree Dog Shampoo,1040,c29af37837afcaf44b779eca7c19295f
Alisha,379,Alisha Solid Women's Cycling Shorts,999,9aacdecceb404c74abddc513fd2756a8
Freelance,699,Freelance Vacuum Bottles 350 ml Bottle,699,83c53f8948f508f51d2249b489ca8e7d
Alisha,379,Alisha Solid Women's Cycling Shorts,999,d95b0456a0350bc42f2393c6e84b0f09
FabHomeDecor,22646,FabHomeDecor Fabric Double Sofa Bed,32157,849ab05698081a374215d0b7d18047d0
Style Foot,449,Style Foot Bellies,899,c275ee5ac19f774a3ef7da71b40aabd8
Carrel,999,Carrel Printed Women's,2499,4f3511c33a6869b1d5102cd97818ef00
FabHomeDecor,22646,FabHomeDecor Fabric Double Sofa Bed,32157,7ee3e337474a29b38cfe1f5d4020d633
Sicons,100,Sicons Conditioning Conditoner Dog Shampoo,110,f35f27525ab8f5988d3817ee9bb02ce1
Alisha,550,Alisha Solid Women's Cycling Shorts,1040,ea98a65ad1e1b8688eddf89fbc7b3e27
dongli,1039,dongli Printed Boy's Round Neck T-Shirt,2400,7a7ba93ab20a2b50fd5a7dc74bcba063
SWAGGA,1500,SWAGGA Women Clogs,1500,9c26a5d85a59d6a34a199ae1df836ec3
Kennel,190,Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,190,20cf08ae845d5fd8f2b8cf52b3b9d840
Glus,699,Glus Wedding Lingerie Set,1299,bb41283056536d7af11e994ba4f9db81
Veelys,2499,Veelys Shiny White Quad Roller Skates - Size 4.5 UK,3199,ea91e47cac68b132887d7fc1175e91c2
Bulaky,390,Bulaky vanity case Jewellery Vanity Case,499,bec784ef794cf596dbe2cbbaf5427ef0
FDT,309,FDT Women's Leggings,699,171e0bcea390c17fd70e3ffa6c2cd187
Madcaps,1699,Madcaps C38GR30 Men's Cargos,2199,a60ebb7803c6a31795de3f8949cb6f98
Bengal Blooms,579,Bengal Blooms Rose Artificial Plant  with Pot,799,186d40c6852da91166c7eb7856603c51
Indcrown,699,Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,999,e71017e224688489edfe856f2308806d
Shopmania,275,Shopmania Music Band A5 Notebook Spiral Bound,499,6286847ee2da18f587503db49511c539
Shopmania,275,Shopmania Music Band A5 Notebook Spiral Bound,499,0686fec9b70e5039583a38119ca0c835
Tiara Diaries,837,"Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound",1000,ea2406dc597bee2abb6b867fa668501f
KAJCI,699,KAJCI Embroidered Women's Waistcoat,1200,5935ed077915347dc695744df68c565c
Packman,298,Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,350,89fcdddaad50084e395d0928a7426afe
Pick Pocket,899,Pick Pocket Embroidered Women's Waistcoat,899,b9b183aa18d3a721d2ac23e7184525b0
Angelfish,399,Angelfish Silk Potali Potli,999,dee64864c0419bec80fbbb94d19bc40d
Oye,764,Oye Boy's Dungaree,899,595f55f2c1293f07ea9ec9fa2bb39f46
Nuride,1349,Nuride Canvas Shoes,1999,547b6585272473ae006bcfbdb47b6ae0
OM SHIVAKRITI,1499,OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,1499,f6ae9e271a1d4469b4f41124e001e1cc
Himmlisch,1899,Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,6999,f5b22eaa5f79e67209612997f4aa215d
Rapter,1400,Rapter BNC-179 BNC Wire Connector,2299,e9eb010ed8313f65f0e049fc3fcffe87
Vishudh,499,Vishudh Printed Women's Straight Kurta,999,6ef0a5eb033cd610d455be7102da5685
Vishudh,449,Vishudh Printed Women's Straight Kurta,899,c9c27aa5dc7df49e82e55e8abb6b4020
Vishudh,1049,Vishudh Printed Women's Anarkali Kurta,2099,8bc90f8a2ab89daa6ea69d42fe24c985
BuildTrack,5000,BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System,6500,f04b7e56a6053c465aa03994ae749fba
Skayvon,4990,Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System,9990,e6aa835f620db985ee4389b63ef166ad
MASARA,599,MASARA Solid Women's Straight Kurta,1399,cb02f195bbaabc773c7103accf6614a3
Vishudh,449,Vishudh Printed Women's Straight Kurta,899,169902631b89202f0e2079e9cc09b3c7
Rapter,899,Rapter BNC-047 BNC Wire Connector,1299,d8dfa5cfc972119fb2fb7ed330b8be54
