S. No.,State/UT,Per Capita Income
1,Andhra Pradesh,93699
2,Arunachal Pradesh,103633
3,Assam,54618
4,Bihar,31380
5,Chhattisgarh,78001
6,Goa,242745
7,Gujarat,124678
8,Haryana,148485
9,Himachal Pradesh,124500
10,Jammu & Kashmir,62857
11,Jharkhand,56737
12,Karnataka,132880
13,Kerala,139195
14,Madhya Pradesh,56182
15,Maharashtra,134081
16,Manipur,52436
17,Meghalaya,68202
18,Mizoram,85659
19,Nagaland,78526
20,Odisha,64869
21,Punjab,114561
22,Rajasthan,76881
23,Sikkim,210394
24,Tamil Nadu,130197
25,Telangana,125832
26,Tripura,71666
27,Uttar Pradesh,43861
28,Uttarakhand,134784
29,West Bengal#,78903
30,Andaman & Nicobar Islands,121954
31,Chandigarh,225369
32,Delhi,249004
33,Puducherry,158830
