STATE CODE,DISTRICT CODE,INDIA/STATE/UT/DISTRICT,TRU,pop_per,pop_male,pop_female
1,0,JAMMU & KASHMIR,Total,"12,548,926","6,665,561","5,883,365"
1,0,JAMMU & KASHMIR,Rural,"9,134,820","4,809,619","4,325,201"
1,0,JAMMU & KASHMIR,Urban,"3,414,106","1,855,942","1,558,164"
1,1,Kupwara,Total,"875,564","475,126","400,438"
1,1,Kupwara,Rural,"776,322","418,370","357,952"
1,1,Kupwara,Urban,"99,242","56,756","42,486"
1,2,Badgam,Total,"755,331","400,583","354,748"
1,2,Badgam,Rural,"666,620","354,419","312,201"
1,2,Badgam,Urban,"88,711","46,164","42,547"
1,3,Leh(Ladakh),Total,"147,104","92,907","54,197"
1,3,Leh(Ladakh),Rural,"83,901","44,605","39,296"
1,3,Leh(Ladakh),Urban,"63,203","48,302","14,901"
1,4,Kargil,Total,"143,388","80,791","62,597"
1,4,Kargil,Rural,"130,635","74,130","56,505"
1,4,Kargil,Urban,"12,753","6,661","6,092"
1,5,Punch,Total,"476,820","252,240","224,580"
1,5,Punch,Rural,"438,176","230,087","208,089"
1,5,Punch,Urban,"38,644","22,153","16,491"
1,6,Rajouri,Total,"619,266","332,424","286,842"
1,6,Rajouri,Rural,"575,332","305,253","270,079"
1,6,Rajouri,Urban,"43,934","27,171","16,763"
1,7,Kathua,Total,"615,711","327,953","287,758"
1,7,Kathua,Rural,"527,176","280,639","246,537"
1,7,Kathua,Urban,"88,535","47,314","41,221"
1,8,Baramula,Total,"1,015,503","542,171","473,332"
1,8,Baramula,Rural,"840,948","448,357","392,591"
1,8,Baramula,Urban,"174,555","93,814","80,741"
1,9,Bandipore,Total,"385,099","201,531","183,568"
1,9,Bandipore,Rural,"320,070","166,445","153,625"
1,9,Bandipore,Urban,"65,029","35,086","29,943"
1,10,Srinagar,Total,"1,250,173","665,789","584,384"
1,10,Srinagar,Rural,"15,928","8,220","7,708"
1,10,Srinagar,Urban,"1,234,245","657,569","576,676"
1,11,Ganderbal,Total,"297,003","158,900","138,103"
1,11,Ganderbal,Rural,"250,203","134,064","116,139"
1,11,Ganderbal,Urban,"46,800","24,836","21,964"
1,12,Pulwama,Total,"570,060","297,988","272,072"
1,12,Pulwama,Rural,"491,370","254,609","236,761"
1,12,Pulwama,Urban,"78,690","43,379","35,311"
1,13,Shupiyan,Total,"265,960","136,302","129,658"
1,13,Shupiyan,Rural,"251,010","128,341","122,669"
1,13,Shupiyan,Urban,"14,950","7,961","6,989"
1,14,Anantnag,Total,"1,069,749","552,203","517,546"
1,14,Anantnag,Rural,"791,237","407,278","383,959"
1,14,Anantnag,Urban,"278,512","144,925","133,587"
1,15,Kulgam,Total,"423,181","216,873","206,308"
1,15,Kulgam,Rural,"343,739","175,880","167,859"
1,15,Kulgam,Urban,"79,442","40,993","38,449"
1,16,Doda,Total,"409,576","213,091","196,485"
1,16,Doda,Rural,"377,003","195,065","181,938"
1,16,Doda,Urban,"32,573","18,026","14,547"
1,17,Ramban,Total,"283,313","149,032","134,281"
1,17,Ramban,Rural,"271,527","142,251","129,276"
1,17,Ramban,Urban,"11,786","6,781","5,005"
1,18,Kishtwar,Total,"231,037","120,496","110,541"
